DisputeID,InvoiceID,DisputeDate,DisputeReason,DisputeStatus
1,746,2025-05-16,Contract Terms,Resolved
2,315,2024-08-22,Pricing,Resolved
3,4753,2025-11-04,Service Issue,Open
4,2668,2024-10-20,Duplicate Invoice,Open
5,283,2025-09-23,Pricing,Resolved
6,839,2025-03-10,Service Issue,Resolved
7,5437,2025-03-24,Pricing,Open
8,4528,2025-06-03,Contract Terms,Open
9,3408,2025-03-03,Service Issue,Resolved
10,5277,2024-08-23,Service Issue,Resolved
11,4131,2025-04-10,Contract Terms,Resolved
12,310,2025-01-14,Pricing,Resolved
13,4442,2024-12-02,Service Issue,Open
14,2675,2025-11-24,Pricing,Resolved
15,5007,2025-04-16,Service Issue,Resolved
16,1345,2026-01-21,Pricing,Open
17,2807,2025-04-12,Contract Terms,Resolved
18,1685,2025-06-18,Pricing,Resolved
19,2035,2025-05-02,Duplicate Invoice,Open
20,1235,2025-11-04,Service Issue,Open
21,3923,2024-04-12,Pricing,Open
22,5084,2024-11-07,Contract Terms,Open
23,2202,2024-02-25,Pricing,Resolved
24,1072,2025-10-06,Contract Terms,Resolved
25,1982,2024-07-15,Contract Terms,Resolved
26,1034,2024-12-27,Pricing,Open
27,1253,2024-02-12,Contract Terms,Open
28,2647,2025-10-19,Pricing,Open
29,934,2024-10-24,Duplicate Invoice,Open
30,2949,2024-06-09,Duplicate Invoice,Resolved
31,1683,2026-01-18,Service Issue,Open
32,496,2024-11-09,Contract Terms,Resolved
33,4307,2024-11-16,Service Issue,Open
34,2240,2024-12-04,Service Issue,Resolved
35,5392,2025-01-27,Pricing,Open
36,1211,2024-10-08,Duplicate Invoice,Resolved
37,759,2024-11-14,Contract Terms,Resolved
38,1225,2025-08-27,Duplicate Invoice,Open
39,4923,2024-02-24,Pricing,Resolved
40,2906,2025-05-17,Service Issue,Open
41,118,2025-10-20,Duplicate Invoice,Resolved
42,1474,2025-07-29,Duplicate Invoice,Open
43,5162,2024-11-22,Service Issue,Resolved
44,3261,2024-10-18,Pricing,Resolved
45,4132,2024-10-01,Duplicate Invoice,Resolved
46,5478,2025-12-18,Service Issue,Open
47,4800,2024-10-23,Contract Terms,Resolved
48,3907,2025-12-24,Pricing,Resolved
49,595,2025-01-22,Contract Terms,Open
50,5067,2024-07-06,Contract Terms,Open
51,120,2024-07-13,Service Issue,Resolved
52,4558,2025-10-30,Contract Terms,Open
53,2262,2025-09-24,Duplicate Invoice,Open
54,5039,2025-09-24,Contract Terms,Open
55,516,2024-02-26,Duplicate Invoice,Open
56,2446,2024-02-24,Contract Terms,Open
57,372,2025-11-11,Service Issue,Resolved
58,5446,2025-08-18,Pricing,Open
59,4043,2025-07-01,Duplicate Invoice,Resolved
60,5335,2024-09-02,Contract Terms,Open
61,1251,2024-04-06,Pricing,Resolved
62,4157,2024-09-10,Service Issue,Resolved
63,1794,2025-02-13,Pricing,Resolved
64,16,2025-01-29,Contract Terms,Resolved
65,3601,2025-07-11,Duplicate Invoice,Resolved
66,62,2025-08-23,Pricing,Open
67,3004,2025-10-18,Service Issue,Resolved
68,4296,2024-02-07,Duplicate Invoice,Open
69,124,2024-08-27,Service Issue,Resolved
70,5383,2025-01-03,Pricing,Open
71,5338,2025-05-06,Pricing,Open
72,558,2026-01-19,Service Issue,Resolved
73,1488,2025-12-11,Contract Terms,Resolved
74,968,2024-10-20,Duplicate Invoice,Resolved
75,4389,2024-04-19,Service Issue,Resolved
76,4107,2024-11-01,Contract Terms,Open
77,2967,2024-10-28,Pricing,Open
78,4255,2024-09-09,Service Issue,Open
79,490,2025-05-07,Pricing,Open
80,3560,2025-05-10,Contract Terms,Resolved
81,1338,2024-06-15,Service Issue,Resolved
82,1669,2024-04-09,Pricing,Resolved
83,3179,2024-11-08,Duplicate Invoice,Resolved
84,136,2025-02-27,Contract Terms,Resolved
85,1656,2024-04-09,Duplicate Invoice,Open
86,3423,2025-02-10,Contract Terms,Open
87,2308,2025-08-29,Contract Terms,Open
88,2846,2025-04-06,Duplicate Invoice,Resolved
89,827,2025-04-18,Pricing,Resolved
90,2371,2024-11-01,Service Issue,Resolved
91,3402,2025-12-18,Duplicate Invoice,Open
92,5217,2025-07-11,Service Issue,Open
93,1850,2024-12-04,Pricing,Open
94,337,2024-07-30,Contract Terms,Open
95,3922,2024-11-14,Duplicate Invoice,Open
96,5358,2025-05-22,Pricing,Open
97,4746,2024-03-05,Contract Terms,Resolved
98,5310,2024-05-14,Duplicate Invoice,Open
99,1860,2025-01-13,Contract Terms,Open
100,2003,2026-01-06,Pricing,Open
101,3875,2025-06-01,Duplicate Invoice,Open
102,1305,2024-12-17,Contract Terms,Resolved
103,4794,2024-10-26,Contract Terms,Resolved
104,875,2024-04-28,Contract Terms,Resolved
105,1304,2024-10-13,Duplicate Invoice,Open
106,3193,2025-01-14,Contract Terms,Open
107,3164,2025-09-20,Duplicate Invoice,Resolved
108,4698,2024-03-23,Contract Terms,Resolved
109,409,2025-04-02,Contract Terms,Open
110,520,2026-01-13,Contract Terms,Open
111,2806,2025-02-13,Contract Terms,Resolved
112,1630,2024-12-30,Pricing,Open
113,2154,2024-03-30,Service Issue,Resolved
114,4590,2025-09-26,Pricing,Open
115,1011,2025-08-15,Pricing,Resolved
116,4298,2024-03-20,Duplicate Invoice,Open
117,2392,2025-10-06,Duplicate Invoice,Open
118,2679,2024-01-28,Contract Terms,Resolved
119,23,2025-05-15,Duplicate Invoice,Open
120,2467,2025-05-21,Duplicate Invoice,Open
121,5498,2025-12-11,Pricing,Resolved
122,2378,2025-10-19,Duplicate Invoice,Open
123,2300,2025-05-15,Pricing,Open
124,2317,2024-09-12,Contract Terms,Open
