PaymentID,InvoiceID,PaymentDate,PaymentAmount
1,1,2025-04-20,733.75
2,4,2025-07-19,4222.33
3,5,2025-12-02,2178.91
4,9,2025-02-23,2967.7
5,10,2024-11-17,1677.38
6,11,2025-07-14,6528.1
7,12,2025-01-24,969.19
8,13,2025-01-18,3128.58
9,15,2024-08-28,1691.73
10,19,2024-08-26,2563.25
11,21,2025-01-22,2234.14
12,25,2025-03-15,3215.65
13,26,2025-02-15,2376.83
14,27,2024-06-12,1197.1
15,28,2024-03-24,990.97
16,29,2025-01-23,2578.43
17,31,2024-06-13,1397.47
18,36,2025-07-16,1594.37
19,37,2024-05-05,5818.37
20,41,2025-01-27,4213.14
21,46,2026-02-13,9047.31
22,47,2024-11-09,3385.57
23,48,2025-04-15,2408.94
24,49,2024-05-29,4733.88
25,56,2024-06-21,1856.2
26,57,2025-04-26,2402.88
27,61,2024-05-30,1133.39
28,62,2025-08-19,2356.53
29,63,2025-08-01,722.6
30,64,2024-04-21,5572.79
31,65,2025-08-11,5288.87
32,66,2025-02-16,2721.09
33,69,2025-04-19,4953.46
34,70,2025-12-05,566.45
35,71,2025-01-07,6258.91
36,74,2024-08-25,2503.11
37,77,2024-09-13,3302.79
38,78,2024-05-18,1268.12
39,80,2025-07-28,3595.82
40,81,2024-07-28,2415.49
41,82,2024-05-03,1166.59
42,84,2025-09-07,2996.57
43,86,2025-04-06,4180.68
44,87,2024-09-12,736.93
45,88,2024-07-27,5838.83
46,89,2025-10-28,3757.16
47,90,2025-04-09,3189.44
48,91,2026-01-11,669.54
49,92,2025-03-09,2976.2
50,94,2024-04-03,1119.3
51,95,2026-02-23,2585.94
52,96,2025-09-30,6188.07
53,97,2024-05-11,1164.51
54,98,2025-03-22,2278.08
55,102,2024-03-29,1353.01
56,103,2025-03-19,3107.58
57,105,2025-07-05,1708.49
58,106,2024-04-16,4175.55
59,108,2025-12-17,3682.71
60,109,2025-07-09,654.57
61,110,2024-02-06,2685.86
62,113,2024-10-22,4813.29
63,114,2025-07-14,1708.33
64,118,2025-11-03,1672.42
65,119,2025-01-13,5256.29
66,121,2025-08-13,3360.83
67,123,2024-07-11,5351.27
68,124,2024-10-13,1943.75
69,126,2025-09-22,6827.62
70,128,2025-04-20,4213.14
71,129,2025-08-14,3244.91
72,130,2025-08-11,1933.28
73,131,2025-06-15,1870.09
74,132,2025-08-09,1369.24
75,136,2025-04-11,1226.04
76,137,2024-04-12,4458.37
77,138,2025-04-13,5804.86
78,140,2025-01-06,6238.9
79,142,2024-03-12,2834.99
80,144,2025-11-01,3015.85
81,147,2025-11-10,2699.68
82,148,2025-10-26,5051.18
83,150,2025-11-02,635.52
84,151,2025-05-19,2050.84
85,153,2024-03-08,2505.27
86,159,2024-03-15,2883.58
87,160,2025-06-01,5904.83
88,162,2026-02-09,3146.3
89,163,2024-08-25,2175.37
90,164,2024-07-17,2011.73
91,167,2025-01-22,1514.05
92,169,2024-11-23,1148.04
93,170,2025-08-12,3036.89
94,171,2024-08-07,3072.5
95,173,2025-06-21,7128.64
96,174,2025-02-06,5685.38
97,175,2026-01-02,570.06
98,177,2025-01-22,2534.09
99,179,2025-07-28,3182.46
100,181,2025-09-13,2632.7
101,183,2025-11-18,2961.5
102,185,2025-02-23,3078.97
103,188,2025-05-27,931.48
104,189,2025-06-01,2944.05
105,190,2025-09-12,1480.95
106,191,2024-02-20,1229.13
107,193,2025-08-16,1359.45
108,195,2025-10-02,10250.25
109,197,2025-09-15,2538.69
110,199,2024-10-23,3884.67
111,201,2025-02-11,2470.73
112,202,2024-11-03,3857.64
113,204,2024-05-15,5014.39
114,205,2026-02-06,3435.08
115,208,2024-12-03,4939.16
116,210,2024-06-26,2652.91
117,211,2025-05-24,1905.56
118,212,2025-06-07,2091.24
119,213,2025-04-30,2283.69
120,214,2024-12-16,1898.06
121,217,2025-09-02,2748.07
122,218,2025-04-13,5414.27
123,221,2024-06-14,566.54
124,225,2024-05-15,997.29
125,227,2025-01-09,1397.37
126,232,2025-12-10,1994.64
127,234,2026-02-26,1542.69
128,239,2025-11-03,5022.14
129,241,2025-07-14,1256.33
130,242,2024-06-30,1345.9
131,244,2025-11-30,7416.23
132,245,2025-02-28,4335.21
133,246,2025-12-17,3602.9
134,247,2024-10-26,2315.84
135,249,2024-08-20,2651.1
136,251,2024-09-10,861.77
137,253,2026-02-10,3065.84
138,255,2025-07-02,1888.48
139,256,2025-02-27,2958.12
140,259,2025-11-13,1777.44
141,260,2025-04-03,4119.44
142,261,2025-08-29,789.32
